name,lat,lon,population
Muscat,23.6133,58.5933,734697
Ashgabat,37.9500,58.3833,727700
Zagreb,45.8000,16.0000,722526
Sarajevo,43.8500,18.3830,696731
Chișinău,47.0050,28.8577,688134
Lilongwe,-13.9833,33.7833,646750
Asmara,15.3333,38.9333,620802
Abu Dhabi,24.4667,54.3666,603492
Port Louis,-20.1666,57.5000,595491
Libreville,0.3854,9.4580,578156
Manama,26.2361,50.5831,563920
Vilnius,54.6834,25.3166,542366
Skopje,42.0000,21.4335,494087
Hargeisa,9.5600,44.0653,477876
Pristina,42.6667,21.1660,465186
Bloemfontein,-29.1200,26.2299,463064
Baguio,16.4300,120.5699,447824
Bratislava,48.1500,17.1170,423737
Bissau,11.8650,-15.5984,403339
Tallinn,59.4339,24.7280,394024
Wellington,-41.3000,174.7833,393400
Valletta,35.8997,14.5147,368250
Maseru,-29.3167,27.4833,361324
Nur-Sultan,51.1811,71.4278,345604
Bujumbura,-3.3761,29.3600,331700
Canberra,-35.2830,149.1290,327700
New Delhi,28.6000,77.2000,317797
Ljubljana,46.0553,14.5150,314807
Porto-Novo,6.4833,2.6166,300000
Bandar Seri Begawan,4.8833,114.9333,296500
Port-of-Spain,10.6520,-61.5170,294934
Port Moresby,-9.4647,147.1925,283733
Bern,46.9167,7.4670,275329
Windhoek,-22.5700,17.0835,268132
Georgetown,6.8020,-58.1670,264350
Paramaribo,5.8350,-55.1670,254169
Dili,-8.5594,125.5795,234331
Nassau,25.0834,-77.3500,227940
Sucre,-19.0410,-65.2595,224838
Nicosia,35.1667,33.3666,224300
Dodoma,-6.1833,35.7500,218269
Colombo,6.9320,79.8578,217000
Gaborone,-24.6463,25.9119,208411
Yamoussoukro,6.8184,-5.2755,206499
Bridgetown,13.1020,-59.6165,191152
Laayoune,27.1500,-13.2000,188084
Suva,-18.1330,178.4417,175399
Reykjavík,64.1500,-21.9500,166212
Malabo,3.7500,8.7833,155963
Podgorica,42.4660,19.2663,145850
Moroni,-11.7042,43.2402,128698
Sri Jayawardenepura Kotte,6.9000,79.9500,115826
Praia,14.9167,-23.5167,113364
Malé,4.1667,73.4999,112927
Juba,4.8300,31.5800,111975
Luxembourg,49.6117,6.1300,107260
Thimphu,27.4730,89.6390,98676
Mbabane,-26.3167,31.1333,90138
São Tomé,0.3334,6.7333,88219
Honiara,-9.4380,159.9498,76328
Putrajaya,2.9140,101.7019,67964
Apia,-13.8415,-171.7386,61916
Andorra,42.5000,1.5165,53998
Kingstown,13.1483,-61.2121,49485
Port Vila,-17.7334,168.3166,44040
Banjul,13.4539,-16.5917,43094
Nuku'alofa,-21.1385,-175.2206,42620
Castries,14.0020,-61.0000,37963
Monaco,43.7396,7.4069,36371
Vaduz,47.1337,9.5167,36281
Saint John's,17.1180,-61.8500,35499
Saint George's,12.0526,-61.7416,33734
Victoria,-4.6166,55.4500,33576
San Marino,43.9361,12.4418,29579
Tarawa,1.3382,173.0176,28802
Majuro,7.1030,171.3800,25400
Roseau,15.3010,-61.3870,23336
Basseterre,17.3020,-62.7170,21887
Belmopan,17.2520,-88.7671,15220
Lobamba,-26.4667,31.2000,9782
Melekeok,7.4874,134.6265,7026
Funafuti,-8.5167,179.2166,4749
Palikir,6.9166,158.1500,4645
Vatican City,41.9033,12.4534,832
Bir Lehlou,26.1192,-9.6525,500
